Hamburg Bremen  121
Hamburg Flensburg   157
Hamburg Hannover    152
Hamburg Berlin  289
Flensburg   Hamburg 157
Bremen  Hamburg 121
Bremen  Osnabrueck   126
Osnabrueck   Bremen  126
Osnabrueck   Muenster 61
Muenster Osnabrueck   61
Muenster Dortmund    71
Dortmund    Muenster 71
Dortmund    Hannover    213
Dortmund    Kassel  167
Dortmund    FFAM    221
Dortmund    Koeln    95
Hannover    Hamburg 152
Hannover    Berlin  286
Hannover    Kassel  165
Hannover    Dortmund    213
Koeln    Dortmund    95
Koeln    FFAM    193
Koeln    Stuttgart   368
Stuttgart   Koeln    368
Stuttgart   Muenchen 231
Muenchen Stuttgart   231
Muenchen FFAM    392
FFAM    Koeln    193
FFAM    Dortmund    221
Kassel  Dortmund    167
Kassel  Hannover    165
Berlin  Hannover    286
Berlin  Hamburg 289
